l_eff,scenario,variant,ls_mode,channel_nmse,channel_nmse_db,observed_symbol_nmse,observed_symbol_nmse_db,train_loss_final,validation_loss_final,weights_source,weights_min,weights_max,parameter_count
6,query,query_v1_traditional_ls,traditional_ls,2.582284e+01,1.342914e+01,2.585196e-01,-5.890058e+00,3.664510e+01,2.582284e+01,,,,4.345030e+05
6,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,8.032419e+01,1.656133e+01,2.372168e-02,-1.636802e+01,8.488818e+00,8.032419e+01,uncertainty,5.000000e-01,1.628959e+00,4.345030e+05
6,epgt,epgt_v1_full_traditional_ls,traditional_ls,2.044097e+02,7.030236e+00,1.025031e-01,-9.909119e+00,4.748730e+00,2.044097e+02,,,,2.316720e+05
6,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,4.148972e+01,1.456858e+01,3.195965e-01,-4.959353e+00,6.078547e+00,4.148972e+01,uncertainty,5.000000e-01,1.632670e+00,2.339880e+05
6,direct_h,direct_h_original_v1,none,9.909610e-01,-3.943656e-02,9.914459e-01,-3.731160e-02,4.951955e-01,9.909610e-01,,,,2.541984e+06
8,oracle,oracle_ls,traditional_ls,1.441342e-14,-1.199379e+02,1.441342e-14,-1.199379e+02,,1.441342e-14,,,,
8,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,4.004693e+05,5.429491e+01,1.037816e-01,-9.877908e+00,1.291465e+03,4.004693e+05,,,,1.746460e+05
8,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,6.538259e+05,5.419906e+01,7.032979e-02,-1.158367e+01,2.843225e+01,6.538259e+05,,,,1.777340e+05
8,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,3.973257e+01,1.545232e+01,7.465046e-01,-1.619773e+00,1.352116e+02,3.973257e+01,uncertainty,5.000000e-01,1.630526e+00,1.777340e+05
8,query,query_v1_traditional_ls,traditional_ls,1.304162e+05,4.246191e+01,2.311867e-02,-1.641089e+01,1.063494e+03,1.304162e+05,,,,4.346950e+05
8,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,3.724326e+02,2.558099e+01,8.749752e-02,-1.108902e+01,1.124157e+03,3.724326e+02,uncertainty,5.000000e-01,1.635094e+00,4.346950e+05
8,epgt,epgt_v1_full_traditional_ls,traditional_ls,2.171399e+02,2.289842e+01,4.838359e-02,-1.317563e+01,1.014180e+02,2.171399e+02,,,,2.328300e+05
8,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,9.426072e+02,2.810003e+01,6.340207e-02,-1.212552e+01,4.102905e+02,9.426072e+02,uncertainty,5.000000e-01,1.631925e+00,2.359180e+05
8,direct_h,direct_h_original_v1,none,9.897798e-01,-4.462437e-02,9.899272e-01,-4.398078e-02,4.950320e-01,9.897798e-01,,,,2.541984e+06
12,oracle,oracle_ls,traditional_ls,1.751449e-14,-1.199246e+02,1.751449e-14,-1.199246e+02,,1.751449e-14,,,,
12,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,5.916452e+06,6.740379e+01,2.839880e-02,-1.548051e+01,5.347414e+02,5.916452e+06,,,,1.761900e+05
12,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,4.772475e+06,6.638962e+01,1.184897e-02,-1.933111e+01,3.099243e+02,4.772475e+06,,,,1.808220e+05
12,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,1.673422e+02,2.173058e+01,3.507949e-01,-4.688035e+00,7.119268e+02,1.673422e+02,uncertainty,5.000000e-01,1.632472e+00,1.808220e+05
12,query,query_v1_traditional_ls,traditional_ls,1.371856e+06,6.124597e+01,9.064111e-03,-2.044245e+01,4.783265e+02,1.371856e+06,,,,4.350790e+05
12,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,1.001095e+02,1.898996e+01,9.088799e-01,-4.627971e-01,1.539439e+03,1.001095e+02,uncertainty,5.000000e-01,1.622106e+00,4.350790e+05
12,epgt,epgt_v1_full_traditional_ls,traditional_ls,1.149097e+06,6.020369e+01,3.009984e-03,-2.523818e+01,1.585031e+02,1.149097e+06,,,,2.351460e+05
12,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,2.171701e+01,1.206034e+01,5.252411e-01,-4.368726e+00,1.185056e+03,2.171701e+01,uncertainty,5.000000e-01,1.630071e+00,2.397780e+05
12,direct_h,direct_h_original_v1,none,9.913016e-01,-3.794625e-02,9.913629e-01,-3.767843e-02,4.959155e-01,9.913016e-01,,,,2.541984e+06
